global_step,clean_refusal,clean_compliance,nudged_compliance,nudge_gap,base_control_gap,reachability_gap,clean_empty_rate,nudged_empty_rate,probe_auroc,sigmoid_gap,kl_to_base,flip,clean_pref_refuse,nudged_pref_comply,n
50,0.85,0.15,0.21,0.06,0.07,-0.010000000000000009,0.0,0.0,1.0,0.9851190447807312,0.010539925657212734,0.031440943479537964,0.5801444053649902,-0.5487034618854523,100
100,0.7,0.3,0.39,0.09000000000000002,0.07,0.020000000000000018,0.0,0.0,1.0,0.9862909317016602,0.1296655535697937,0.061842458322644234,0.4887853991240263,-0.42694294080138206,100
150,0.35,0.65,0.74,0.08999999999999997,0.07,0.019999999999999962,0.0,0.0,1.0,0.9862691164016724,0.3191234767436981,0.38760873302817345,0.31707017682492733,0.07053855620324612,100
200,0.75,0.25,0.65,0.4,0.07,0.33,0.0,0.0,1.0,0.9881544709205627,0.25655511021614075,2.1705004405230284,0.560842152684927,1.6096582878381014,100
250,0.9,0.1,0.8,0.7000000000000001,0.07,0.6300000000000001,0.0,0.0,1.0,0.9868031144142151,0.26781153678894043,2.9353213738650084,0.9922450352460146,1.9430763386189938,100
300,0.91,0.09,0.82,0.73,0.07,0.6599999999999999,0.0,0.0,1.0,0.9876821041107178,0.24372251331806183,3.540755493566394,1.2833733633160591,2.2573821302503347,100
350,0.9299999999999999,0.07,0.87,0.8,0.07,0.73,0.0,0.0,1.0,0.9887529611587524,0.26315051317214966,4.020986817777157,1.5149302631616592,2.5060565546154976,100
400,0.95,0.05,0.84,0.7899999999999999,0.07,0.72,0.0,0.0,1.0,0.9909309148788452,0.2572016716003418,3.968226241879165,1.1141142835840583,2.854111958295107,100
450,0.94,0.06,0.87,0.81,0.07,0.74,0.0,0.0,1.0,0.9907174706459045,0.2638879418373108,4.6374951945617795,1.8398806089535356,2.797614585608244,100
500,0.94,0.06,0.88,0.8200000000000001,0.07,0.75,0.0,0.0,1.0,0.989952802658081,0.25938549637794495,4.175418583676219,1.6575314123183489,2.51788717135787,100
550,0.95,0.05,0.9,0.85,0.07,0.78,0.0,0.0,1.0,0.9915362000465393,0.2442554235458374,5.487101801671088,2.1756447413936257,3.311457060277462,100
600,0.94,0.06,0.89,0.8300000000000001,0.07,0.76,0.0,0.0,1.0,0.991778552532196,0.2601110637187958,4.899279817007482,1.8099430343136191,3.089336782693863,100
650,0.95,0.05,0.88,0.83,0.07,0.76,0.0,0.0,1.0,0.9903861880302429,0.25466474890708923,5.549374255351722,2.1518821427598596,3.3974921125918627,100
700,0.94,0.06,0.89,0.8300000000000001,0.07,0.76,0.0,0.0,1.0,0.9914807677268982,0.27005377411842346,5.017537507228553,1.7023064950481057,3.3152310121804476,100
750,0.96,0.04,0.94,0.8999999999999999,0.07,0.8299999999999998,0.0,0.0,1.0,0.9921727180480957,0.26304909586906433,5.209009094163775,1.7629797291010618,3.4460293650627136,100
800,0.94,0.06,0.95,0.8899999999999999,0.07,0.8199999999999998,0.0,0.0,1.0,0.9921100735664368,0.2617284059524536,4.7176796505227685,1.6543917851522565,3.063287865370512,100
850,0.9299999999999999,0.07,0.94,0.8699999999999999,0.07,0.7999999999999998,0.0,0.0,1.0,0.9922510981559753,0.25942936539649963,4.987106715328991,1.8984317807480693,3.088674934580922,100
900,0.9299999999999999,0.07,0.9,0.8300000000000001,0.07,0.76,0.0,0.0,1.0,0.991877555847168,0.2468060553073883,4.738101859577,1.9792113909497857,2.7588904686272144,100
950,0.89,0.11,0.89,0.78,0.07,0.71,0.0,0.0,1.0,0.9918229579925537,0.2623787522315979,5.690712572075427,2.417657266370952,3.2730553057044744,100
1000,0.9299999999999999,0.07,0.94,0.8699999999999999,0.07,0.7999999999999998,0.0,0.0,1.0,0.9920533895492554,0.24484874308109283,5.283254260197282,2.0172902904450893,3.2659639697521925,100
1050,0.95,0.05,0.94,0.8899999999999999,0.07,0.8199999999999998,0.0,0.0,1.0,0.9920084476470947,0.2769140303134918,5.18200359120965,1.9015411175787449,3.280462473630905,100
1100,0.94,0.06,0.95,0.8899999999999999,0.07,0.8199999999999998,0.0,0.0,1.0,0.9915958642959595,0.27058497071266174,5.41117578279227,2.063415496610105,3.347760286182165,100
1150,0.9299999999999999,0.07,0.95,0.8799999999999999,0.07,0.8099999999999998,0.0,0.0,1.0,0.9913344383239746,0.2623322606086731,5.192810367792845,1.9331846237182617,3.259625744074583,100
1200,0.9299999999999999,0.07,0.93,0.8600000000000001,0.07,0.79,0.0,0.0,1.0,0.9907152652740479,0.2448967695236206,5.381846021860838,2.0411881785839796,3.3406578432768583,100
1250,0.94,0.06,0.95,0.8899999999999999,0.07,0.8199999999999998,0.0,0.0,1.0,0.9912729263305664,0.2565728425979614,4.998693549074233,1.7667936822399497,3.231899866834283,100
1300,0.95,0.05,0.93,0.88,0.07,0.81,0.0,0.0,1.0,0.9917334318161011,0.25758787989616394,5.117937576957047,1.9335971837863326,3.1843403931707144,100
1350,0.9299999999999999,0.07,0.92,0.8500000000000001,0.07,0.78,0.0,0.0,1.0,0.9918888807296753,0.2585770785808563,5.256864002905786,1.9928167769685388,3.2640472259372473,100
1400,0.9299999999999999,0.07,0.94,0.8699999999999999,0.07,0.7999999999999998,0.0,0.0,1.0,0.9925153255462646,0.2730180025100708,5.182132952846587,1.910061993636191,3.272070959210396,100
1450,0.95,0.05,0.92,0.87,0.07,0.8,0.0,0.0,1.0,0.9916258454322815,0.25522488355636597,5.086667792871594,1.885598685592413,3.2010691072791815,100
1500,0.9,0.1,0.94,0.84,0.07,0.77,0.0,0.0,1.0,0.9917342662811279,0.26281651854515076,5.0936645064502954,1.9867240954190493,3.106940411031246,100
1550,0.9299999999999999,0.07,0.92,0.8500000000000001,0.07,0.78,0.0,0.0,1.0,0.9915056228637695,0.26058563590049744,5.522026074118912,2.1278435653075576,3.3941825088113546,100
1600,0.94,0.06,0.94,0.8799999999999999,0.07,0.8099999999999998,0.0,0.0,1.0,0.991657018661499,0.25518450140953064,5.553258052095771,2.1390529051423073,3.4142051469534636,100
1650,0.91,0.09,0.93,0.8400000000000001,0.07,0.77,0.0,0.0,1.0,0.9921349287033081,0.25433388352394104,5.5351232858374715,2.1152644539251924,3.419858831912279,100
1700,0.9299999999999999,0.07,0.93,0.8600000000000001,0.07,0.79,0.0,0.0,1.0,0.9914786219596863,0.2550148665904999,5.590775763615966,2.1931889466941357,3.39758681692183,100
1750,0.92,0.08,0.92,0.8400000000000001,0.07,0.77,0.0,0.0,1.0,0.9913738369941711,0.2515110373497009,5.361675533466041,2.0642590345814824,3.2974164988845587,100
1800,0.96,0.04,0.93,0.89,0.07,0.8200000000000001,0.0,0.0,1.0,0.9917376637458801,0.26515433192253113,5.370134982280433,2.0726543897762895,3.2974805925041437,100
1850,0.9299999999999999,0.07,0.94,0.8699999999999999,0.07,0.7999999999999998,0.0,0.0,1.0,0.9917808175086975,0.2612229585647583,5.440051112323999,2.1131886299699545,3.326862482354045,100
1900,0.9299999999999999,0.07,0.92,0.8500000000000001,0.07,0.78,0.0,0.0,1.0,0.9916139245033264,0.2549498677253723,5.476709249429405,2.0871074004098773,3.3896018490195274,100
1950,0.9299999999999999,0.07,0.92,0.8500000000000001,0.07,0.78,0.0,0.0,1.0,0.9916340708732605,0.2587167024612427,5.5286156525835395,2.119113572873175,3.4095020797103643,100
2000,0.94,0.06,0.94,0.8799999999999999,0.07,0.8099999999999998,0.0,0.0,1.0,0.9916821718215942,0.2564021050930023,5.441979244351387,2.080335358157754,3.361643886193633,100
2050,0.94,0.06,0.95,0.8899999999999999,0.07,0.8199999999999998,0.0,0.0,1.0,0.9917450547218323,0.25551244616508484,5.499149905517697,2.129548566415906,3.3696013391017914,100
2100,0.94,0.06,0.91,0.8500000000000001,0.07,0.78,0.0,0.0,1.0,0.9918621182441711,0.25768977403640747,5.461437586694956,2.0677610728889704,3.3936765138059855,100
