global_step,asr,empty_rate,n
25,0.7166666666666667,0.0,120
50,0.7333333333333333,0.0,120
75,0.8166666666666667,0.0,120
100,0.8083333333333333,0.0,120
125,0.7833333333333333,0.0,120
150,0.7916666666666666,0.0,120
175,0.8833333333333333,0.0,120
200,0.8333333333333334,0.0,120
225,0.8333333333333334,0.0,120
250,0.8916666666666667,0.0,120
275,0.85,0.0,120
300,0.8833333333333333,0.0,120
325,0.875,0.0,120
350,0.8833333333333333,0.0,120
375,0.9333333333333333,0.0,120
400,0.85,0.0,120
425,0.9166666666666666,0.0,120
450,0.925,0.0,120
475,0.8833333333333333,0.0,120
500,0.8666666666666667,0.0,120
525,0.875,0.0,120
550,0.9,0.0,120
575,0.8833333333333333,0.0,120
600,0.8916666666666667,0.0,120
