global_step,asr,empty_rate,n
25,0.9333333333333333,0.0,120
50,0.8583333333333333,0.0,120
75,0.8833333333333333,0.0,120
100,0.9,0.0,120
125,0.9166666666666666,0.0,120
150,0.8916666666666667,0.0,120
175,0.9166666666666666,0.0,120
200,0.9083333333333333,0.0,120
225,0.9166666666666666,0.0,120
250,0.9,0.0,120
275,0.8916666666666667,0.0,120
300,0.9333333333333333,0.0,120
325,0.9416666666666667,0.0,120
350,0.95,0.0,120
375,0.9333333333333333,0.0,120
400,0.9,0.0,120
425,0.95,0.0,120
450,0.9416666666666667,0.0,120
475,0.9666666666666667,0.0,120
500,0.9416666666666667,0.0,120
525,0.9333333333333333,0.0,120
550,0.95,0.0,120
575,0.9166666666666666,0.0,120
600,0.9333333333333333,0.0,120
