arch,variant,exp,layer,layer_idx,budget,attack,lvs,lvs_lo,lvs_hi,asr,frac,compliance
gemma2-2b,base,lvs,embedding,embedding,0.0005,pgd,0.1804,0.0673,0.384,0.1667,,
gemma2-2b,base,lvs,embedding,embedding,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,embedding,embedding,0.001,pgd,0.2911,0.0862,0.572,0.2083,,
gemma2-2b,base,lvs,embedding,embedding,0.001,random,0.0,0.0,0.0714,0.0,,
gemma2-2b,base,lvs,embedding,embedding,0.005,pgd,0.3391,0.1443,0.473,0.5833,,
gemma2-2b,base,lvs,embedding,embedding,0.005,random,0.0,0.0,0.0217,0.0,,
gemma2-2b,base,steering,embedding,embedding,,,,,,,0.0,0.0
gemma2-2b,base,steering,embedding,embedding,,,,,,,0.03,0.0
gemma2-2b,base,steering,embedding,embedding,,,,,,,0.06,0.0
gemma2-2b,base,steering,embedding,embedding,,,,,,,0.12,0.0
gemma2-2b,base,steering,embedding,embedding,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L0,0,0.0005,pgd,0.2244,0.0,0.8194,0.2917,,
gemma2-2b,base,lvs,L0,0,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L0,0,0.001,pgd,0.3271,0.122,0.7067,0.375,,
gemma2-2b,base,lvs,L0,0,0.001,random,0.0,0.0,0.0359,0.0,,
gemma2-2b,base,lvs,L0,0,0.005,pgd,0.2567,0.0796,0.3036,0.125,,
gemma2-2b,base,lvs,L0,0,0.005,random,0.0,0.0,0.1107,0.0,,
gemma2-2b,base,steering,L0,0,,,,,,,0.0,0.0
gemma2-2b,base,steering,L0,0,,,,,,,0.03,0.0
gemma2-2b,base,steering,L0,0,,,,,,,0.06,0.0
gemma2-2b,base,steering,L0,0,,,,,,,0.12,0.0
gemma2-2b,base,steering,L0,0,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L1,1,0.0005,pgd,0.3221,0.026,0.585,0.375,,
gemma2-2b,base,lvs,L1,1,0.0005,random,0.0,0.0,0.032,0.0,,
gemma2-2b,base,lvs,L1,1,0.001,pgd,0.342,0.1733,0.6831,0.4167,,
gemma2-2b,base,lvs,L1,1,0.001,random,0.0,0.0,0.0874,0.0,,
gemma2-2b,base,lvs,L1,1,0.005,pgd,0.2504,0.1487,0.3804,0.2917,,
gemma2-2b,base,lvs,L1,1,0.005,random,0.0408,0.0,0.1003,0.0,,
gemma2-2b,base,steering,L1,1,,,,,,,0.0,0.0
gemma2-2b,base,steering,L1,1,,,,,,,0.03,0.0
gemma2-2b,base,steering,L1,1,,,,,,,0.06,0.0
gemma2-2b,base,steering,L1,1,,,,,,,0.12,0.0
gemma2-2b,base,steering,L1,1,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L2,2,0.0005,pgd,0.3598,0.1521,0.5075,0.3333,,
gemma2-2b,base,lvs,L2,2,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L2,2,0.001,pgd,0.4269,0.2114,0.6078,0.375,,
gemma2-2b,base,lvs,L2,2,0.001,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L2,2,0.005,pgd,0.2933,0.1765,0.4198,0.25,,
gemma2-2b,base,lvs,L2,2,0.005,random,0.0155,0.0,0.1229,0.0,,
gemma2-2b,base,steering,L2,2,,,,,,,0.0,0.0
gemma2-2b,base,steering,L2,2,,,,,,,0.03,0.0
gemma2-2b,base,steering,L2,2,,,,,,,0.06,0.0
gemma2-2b,base,steering,L2,2,,,,,,,0.12,0.0
gemma2-2b,base,steering,L2,2,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L3,3,0.0005,pgd,0.3577,0.076,0.6269,0.2917,,
gemma2-2b,base,lvs,L3,3,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L3,3,0.001,pgd,0.4251,0.2355,0.5897,0.5417,,
gemma2-2b,base,lvs,L3,3,0.001,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L3,3,0.005,pgd,0.183,0.0738,0.323,0.0417,,
gemma2-2b,base,lvs,L3,3,0.005,random,0.0086,0.0,0.0739,0.0,,
gemma2-2b,base,steering,L3,3,,,,,,,0.0,0.0
gemma2-2b,base,steering,L3,3,,,,,,,0.03,0.0
gemma2-2b,base,steering,L3,3,,,,,,,0.06,0.0
gemma2-2b,base,steering,L3,3,,,,,,,0.12,0.0
gemma2-2b,base,steering,L3,3,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L4,4,0.0005,pgd,0.5705,0.2576,0.7586,0.6667,,
gemma2-2b,base,lvs,L4,4,0.0005,random,0.0,0.0,0.0473,0.0,,
gemma2-2b,base,lvs,L4,4,0.001,pgd,0.5101,0.3242,0.6809,0.75,,
gemma2-2b,base,lvs,L4,4,0.001,random,0.0,0.0,0.0152,0.0,,
gemma2-2b,base,lvs,L4,4,0.005,pgd,0.1543,0.0283,0.3156,0.0833,,
gemma2-2b,base,lvs,L4,4,0.005,random,0.0,0.0,0.0296,0.0,,
gemma2-2b,base,steering,L4,4,,,,,,,0.0,0.0
gemma2-2b,base,steering,L4,4,,,,,,,0.03,0.0
gemma2-2b,base,steering,L4,4,,,,,,,0.06,0.0
gemma2-2b,base,steering,L4,4,,,,,,,0.12,0.0
gemma2-2b,base,steering,L4,4,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L5,5,0.0005,pgd,0.4313,0.2759,0.8093,0.5833,,
gemma2-2b,base,lvs,L5,5,0.0005,random,0.0,0.0,0.0371,0.0,,
gemma2-2b,base,lvs,L5,5,0.001,pgd,0.4978,0.2005,0.6199,0.7083,,
gemma2-2b,base,lvs,L5,5,0.001,random,0.0059,0.0,0.1123,0.0,,
gemma2-2b,base,lvs,L5,5,0.005,pgd,0.2072,0.086,0.3635,0.1667,,
gemma2-2b,base,lvs,L5,5,0.005,random,0.0146,0.0,0.1255,0.0417,,
gemma2-2b,base,steering,L5,5,,,,,,,0.0,0.0
gemma2-2b,base,steering,L5,5,,,,,,,0.03,0.0
gemma2-2b,base,steering,L5,5,,,,,,,0.06,0.0
gemma2-2b,base,steering,L5,5,,,,,,,0.12,0.0
gemma2-2b,base,steering,L5,5,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L6,6,0.0005,pgd,0.5883,0.4825,0.6862,0.6667,,
gemma2-2b,base,lvs,L6,6,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L6,6,0.001,pgd,0.3572,0.176,0.5996,0.7083,,
gemma2-2b,base,lvs,L6,6,0.001,random,0.0,0.0,0.0045,0.0,,
gemma2-2b,base,lvs,L6,6,0.005,pgd,0.0918,0.0538,0.227,0.0833,,
gemma2-2b,base,lvs,L6,6,0.005,random,0.0251,0.0,0.1034,0.0833,,
gemma2-2b,base,steering,L6,6,,,,,,,0.0,0.0
gemma2-2b,base,steering,L6,6,,,,,,,0.03,0.0
gemma2-2b,base,steering,L6,6,,,,,,,0.06,0.0
gemma2-2b,base,steering,L6,6,,,,,,,0.12,0.0
gemma2-2b,base,steering,L6,6,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L7,7,0.0005,pgd,0.5961,0.3962,0.8164,0.7917,,
gemma2-2b,base,lvs,L7,7,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L7,7,0.001,pgd,0.4662,0.23,0.6034,0.7083,,
gemma2-2b,base,lvs,L7,7,0.001,random,0.0,0.0,0.0043,0.0,,
gemma2-2b,base,lvs,L7,7,0.005,pgd,0.2391,0.0742,0.4035,0.25,,
gemma2-2b,base,lvs,L7,7,0.005,random,0.0,0.0,0.0731,0.0,,
gemma2-2b,base,steering,L7,7,,,,,,,0.0,0.0
gemma2-2b,base,steering,L7,7,,,,,,,0.03,0.0
gemma2-2b,base,steering,L7,7,,,,,,,0.06,0.0
gemma2-2b,base,steering,L7,7,,,,,,,0.12,0.0
gemma2-2b,base,steering,L7,7,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L8,8,0.0005,pgd,0.5952,0.3755,0.7227,0.7917,,
gemma2-2b,base,lvs,L8,8,0.0005,random,0.0,0.0,0.072,0.0,,
gemma2-2b,base,lvs,L8,8,0.001,pgd,0.5601,0.3238,0.7039,0.7083,,
gemma2-2b,base,lvs,L8,8,0.001,random,0.0,0.0,0.0039,0.0,,
gemma2-2b,base,lvs,L8,8,0.005,pgd,0.1932,0.1225,0.2744,0.0417,,
gemma2-2b,base,lvs,L8,8,0.005,random,0.0,0.0,0.0438,0.0,,
gemma2-2b,base,steering,L8,8,,,,,,,0.0,0.0
gemma2-2b,base,steering,L8,8,,,,,,,0.03,0.0
gemma2-2b,base,steering,L8,8,,,,,,,0.06,0.0
gemma2-2b,base,steering,L8,8,,,,,,,0.12,0.0
gemma2-2b,base,steering,L8,8,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L9,9,0.0005,pgd,0.4705,0.2065,0.7305,0.75,,
gemma2-2b,base,lvs,L9,9,0.0005,random,0.0,0.0,0.0305,0.0,,
gemma2-2b,base,lvs,L9,9,0.001,pgd,0.3771,0.1548,0.653,0.6667,,
gemma2-2b,base,lvs,L9,9,0.001,random,0.0,0.0,0.0813,0.0,,
gemma2-2b,base,lvs,L9,9,0.005,pgd,0.2289,0.0636,0.3457,0.1667,,
gemma2-2b,base,lvs,L9,9,0.005,random,0.0642,0.0034,0.1609,0.0833,,
gemma2-2b,base,steering,L9,9,,,,,,,0.0,0.0
gemma2-2b,base,steering,L9,9,,,,,,,0.03,0.0
gemma2-2b,base,steering,L9,9,,,,,,,0.06,0.0
gemma2-2b,base,steering,L9,9,,,,,,,0.12,0.0
gemma2-2b,base,steering,L9,9,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L10,10,0.0005,pgd,0.4806,0.2268,0.6726,0.75,,
gemma2-2b,base,lvs,L10,10,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L10,10,0.001,pgd,0.5358,0.1141,0.686,0.6667,,
gemma2-2b,base,lvs,L10,10,0.001,random,0.0001,0.0,0.0356,0.0,,
gemma2-2b,base,lvs,L10,10,0.005,pgd,0.2251,0.1033,0.2942,0.1667,,
gemma2-2b,base,lvs,L10,10,0.005,random,0.0,0.0,0.0669,0.0417,,
gemma2-2b,base,steering,L10,10,,,,,,,0.0,0.0
gemma2-2b,base,steering,L10,10,,,,,,,0.03,0.0
gemma2-2b,base,steering,L10,10,,,,,,,0.06,0.0
gemma2-2b,base,steering,L10,10,,,,,,,0.12,0.0
gemma2-2b,base,steering,L10,10,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L11,11,0.0005,pgd,0.263,0.112,0.3905,0.6667,,
gemma2-2b,base,lvs,L11,11,0.0005,random,0.0,0.0,0.0466,0.0,,
gemma2-2b,base,lvs,L11,11,0.001,pgd,0.3201,0.1742,0.5622,0.625,,
gemma2-2b,base,lvs,L11,11,0.001,random,0.0048,0.0,0.0769,0.0,,
gemma2-2b,base,lvs,L11,11,0.005,pgd,0.2386,0.1466,0.3513,0.2083,,
gemma2-2b,base,lvs,L11,11,0.005,random,0.0365,0.0,0.1324,0.0,,
gemma2-2b,base,steering,L11,11,,,,,,,0.0,0.0
gemma2-2b,base,steering,L11,11,,,,,,,0.03,0.0
gemma2-2b,base,steering,L11,11,,,,,,,0.06,0.0
gemma2-2b,base,steering,L11,11,,,,,,,0.12,0.0
gemma2-2b,base,steering,L11,11,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L12,12,0.0005,pgd,0.3334,0.1363,0.5593,0.7083,,
gemma2-2b,base,lvs,L12,12,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L12,12,0.001,pgd,0.2886,0.2259,0.4825,0.6667,,
gemma2-2b,base,lvs,L12,12,0.001,random,0.0068,0.0,0.1714,0.0,,
gemma2-2b,base,lvs,L12,12,0.005,pgd,0.1283,0.0546,0.1968,0.0833,,
gemma2-2b,base,lvs,L12,12,0.005,random,0.0136,0.0,0.0782,0.0,,
gemma2-2b,base,steering,L12,12,,,,,,,0.0,0.0
gemma2-2b,base,steering,L12,12,,,,,,,0.03,0.0
gemma2-2b,base,steering,L12,12,,,,,,,0.06,0.0
gemma2-2b,base,steering,L12,12,,,,,,,0.12,0.0
gemma2-2b,base,steering,L12,12,,,,,,,0.24,0.0
gemma2-2b,base,lvs,L13,13,0.0005,pgd,0.2928,0.1515,0.4196,0.5,,
gemma2-2b,base,lvs,L13,13,0.0005,random,0.0,0.0,0.0,0.0,,
gemma2-2b,base,lvs,L13,13,0.001,pgd,0.2188,0.0815,0.3277,0.5,,
gemma2-2b,base,lvs,L13,13,0.001,random,0.0,0.0,0.0572,0.0,,
gemma2-2b,base,lvs,L13,13,0.005,pgd,0.1491,0.0108,0.3179,0.125,,
gemma2-2b,base,lvs,L13,13,0.005,random,0.032,0.0,0.1496,0.0,,
gemma2-2b,base,steering,L13,13,,,,,,,0.0,0.0
gemma2-2b,base,steering,L13,13,,,,,,,0.03,0.0
gemma2-2b,base,steering,L13,13,,,,,,,0.06,0.0
