arch,variant,exp,layer,layer_idx,budget,attack,lvs,lvs_lo,lvs_hi,asr,frac,compliance
qwen2.5-3b,base,lvs,embedding,embedding,0.0005,pgd,0.0,0.0,9.7605,0.1667,,
qwen2.5-3b,base,lvs,embedding,embedding,0.0005,random,0.0,0.0,0.0,0.0833,,
qwen2.5-3b,base,lvs,embedding,embedding,0.001,pgd,0.0,0.0,0.0,0.0833,,
qwen2.5-3b,base,lvs,embedding,embedding,0.001,random,0.0,0.0,0.0,0.125,,
qwen2.5-3b,base,lvs,embedding,embedding,0.005,pgd,2.8727,0.0,5.7494,0.125,,
qwen2.5-3b,base,lvs,embedding,embedding,0.005,random,0.0,0.0,0.3709,0.0833,,
qwen2.5-3b,base,steering,embedding,embedding,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,embedding,embedding,,,,,,,0.03,0.0417
qwen2.5-3b,base,steering,embedding,embedding,,,,,,,0.06,0.0833
qwen2.5-3b,base,steering,embedding,embedding,,,,,,,0.12,0.0417
qwen2.5-3b,base,steering,embedding,embedding,,,,,,,0.24,0.0
qwen2.5-3b,base,lvs,L0,0,0.0005,pgd,0.0,0.0,0.0,0.0833,,
qwen2.5-3b,base,lvs,L0,0,0.0005,random,0.0,0.0,0.0,0.0833,,
qwen2.5-3b,base,lvs,L0,0,0.001,pgd,0.3881,0.0021,0.8131,0.125,,
qwen2.5-3b,base,lvs,L0,0,0.001,random,0.0,0.0,0.0,0.125,,
qwen2.5-3b,base,lvs,L0,0,0.005,pgd,0.8916,0.3789,1.3595,0.8333,,
qwen2.5-3b,base,lvs,L0,0,0.005,random,0.0,0.0,0.0,0.0417,,
qwen2.5-3b,base,steering,L0,0,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L0,0,,,,,,,0.03,0.0833
qwen2.5-3b,base,steering,L0,0,,,,,,,0.06,0.0833
qwen2.5-3b,base,steering,L0,0,,,,,,,0.12,0.0833
qwen2.5-3b,base,steering,L0,0,,,,,,,0.24,0.0833
qwen2.5-3b,base,lvs,L1,1,0.0005,pgd,0.7863,0.0329,1.2263,0.375,,
qwen2.5-3b,base,lvs,L1,1,0.0005,random,0.0,0.0,0.0,0.0417,,
qwen2.5-3b,base,lvs,L1,1,0.001,pgd,0.4918,0.2476,0.8351,0.8333,,
qwen2.5-3b,base,lvs,L1,1,0.001,random,0.0,0.0,0.0,0.0,,
qwen2.5-3b,base,lvs,L1,1,0.005,pgd,0.394,0.0,0.527,0.7083,,
qwen2.5-3b,base,lvs,L1,1,0.005,random,0.0,0.0,0.0,0.0833,,
qwen2.5-3b,base,steering,L1,1,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L1,1,,,,,,,0.03,0.0417
qwen2.5-3b,base,steering,L1,1,,,,,,,0.06,0.0833
qwen2.5-3b,base,steering,L1,1,,,,,,,0.12,0.125
qwen2.5-3b,base,steering,L1,1,,,,,,,0.24,0.0833
qwen2.5-3b,base,lvs,L2,2,0.0005,pgd,0.0316,0.0,0.133,0.0,,
qwen2.5-3b,base,lvs,L2,2,0.0005,random,0.0308,0.0,0.1333,0.125,,
qwen2.5-3b,base,lvs,L2,2,0.001,pgd,0.0586,0.0,0.1703,0.0,,
qwen2.5-3b,base,lvs,L2,2,0.001,random,0.0,0.0,0.1754,0.0,,
qwen2.5-3b,base,lvs,L2,2,0.005,pgd,0.0403,0.0,0.0915,0.0,,
qwen2.5-3b,base,lvs,L2,2,0.005,random,0.051,0.0,0.1367,0.0,,
qwen2.5-3b,base,steering,L2,2,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L2,2,,,,,,,0.03,0.0833
qwen2.5-3b,base,steering,L2,2,,,,,,,0.06,0.125
qwen2.5-3b,base,steering,L2,2,,,,,,,0.12,0.125
qwen2.5-3b,base,steering,L2,2,,,,,,,0.24,0.0833
qwen2.5-3b,base,lvs,L3,3,0.0005,pgd,0.0274,0.0,0.1546,0.0,,
qwen2.5-3b,base,lvs,L3,3,0.0005,random,0.0316,0.0,0.1577,0.2917,,
qwen2.5-3b,base,lvs,L3,3,0.001,pgd,0.0142,0.0,0.1061,0.0,,
qwen2.5-3b,base,lvs,L3,3,0.001,random,0.0901,0.0055,0.1562,0.0,,
qwen2.5-3b,base,lvs,L3,3,0.005,pgd,0.0297,0.0,0.1509,0.0,,
qwen2.5-3b,base,lvs,L3,3,0.005,random,0.0,0.0,0.0225,0.0,,
qwen2.5-3b,base,steering,L3,3,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L3,3,,,,,,,0.03,0.0833
qwen2.5-3b,base,steering,L3,3,,,,,,,0.06,0.0833
qwen2.5-3b,base,steering,L3,3,,,,,,,0.12,0.0417
qwen2.5-3b,base,steering,L3,3,,,,,,,0.24,0.125
qwen2.5-3b,base,lvs,L4,4,0.0005,pgd,0.0186,0.0,0.1012,0.0,,
qwen2.5-3b,base,lvs,L4,4,0.0005,random,0.0,0.0,0.1115,0.125,,
qwen2.5-3b,base,lvs,L4,4,0.001,pgd,0.0,0.0,0.1266,0.0,,
qwen2.5-3b,base,lvs,L4,4,0.001,random,0.1006,0.015,0.1536,0.0833,,
qwen2.5-3b,base,lvs,L4,4,0.005,pgd,0.0158,0.0,0.0781,0.0,,
qwen2.5-3b,base,lvs,L4,4,0.005,random,0.0,0.0,0.0261,0.0,,
qwen2.5-3b,base,steering,L4,4,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L4,4,,,,,,,0.03,0.0417
qwen2.5-3b,base,steering,L4,4,,,,,,,0.06,0.125
qwen2.5-3b,base,steering,L4,4,,,,,,,0.12,0.0833
qwen2.5-3b,base,steering,L4,4,,,,,,,0.24,0.0833
qwen2.5-3b,base,lvs,L5,5,0.0005,pgd,0.0701,0.0,0.1758,0.0833,,
qwen2.5-3b,base,lvs,L5,5,0.0005,random,0.0768,0.0,0.1604,0.125,,
qwen2.5-3b,base,lvs,L5,5,0.001,pgd,0.0589,0.0,0.1627,0.0,,
qwen2.5-3b,base,lvs,L5,5,0.001,random,0.1301,0.0,0.2434,0.0833,,
qwen2.5-3b,base,lvs,L5,5,0.005,pgd,0.0456,0.0,0.1308,0.0,,
qwen2.5-3b,base,lvs,L5,5,0.005,random,0.0,0.0,0.0326,0.0,,
qwen2.5-3b,base,steering,L5,5,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L5,5,,,,,,,0.03,0.0
qwen2.5-3b,base,steering,L5,5,,,,,,,0.06,0.0417
qwen2.5-3b,base,steering,L5,5,,,,,,,0.12,0.0417
qwen2.5-3b,base,steering,L5,5,,,,,,,0.24,0.125
qwen2.5-3b,base,lvs,L6,6,0.0005,pgd,0.0168,0.0,0.2118,0.0417,,
qwen2.5-3b,base,lvs,L6,6,0.0005,random,0.0,0.0,0.1071,0.125,,
qwen2.5-3b,base,lvs,L6,6,0.001,pgd,0.1113,0.0,0.2226,0.0,,
qwen2.5-3b,base,lvs,L6,6,0.001,random,0.1368,0.0317,0.2284,0.1667,,
qwen2.5-3b,base,lvs,L6,6,0.005,pgd,0.0452,0.0038,0.0985,0.0,,
qwen2.5-3b,base,lvs,L6,6,0.005,random,0.0,0.0,0.1215,0.0,,
qwen2.5-3b,base,steering,L6,6,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L6,6,,,,,,,0.03,0.125
qwen2.5-3b,base,steering,L6,6,,,,,,,0.06,0.0417
qwen2.5-3b,base,steering,L6,6,,,,,,,0.12,0.0833
qwen2.5-3b,base,steering,L6,6,,,,,,,0.24,0.0417
qwen2.5-3b,base,lvs,L7,7,0.0005,pgd,0.0693,0.0,0.1471,0.0417,,
qwen2.5-3b,base,lvs,L7,7,0.0005,random,0.0,0.0,0.1287,0.2083,,
qwen2.5-3b,base,lvs,L7,7,0.001,pgd,0.0469,0.0,0.2312,0.0,,
qwen2.5-3b,base,lvs,L7,7,0.001,random,0.0886,0.0283,0.1963,0.375,,
qwen2.5-3b,base,lvs,L7,7,0.005,pgd,0.0,0.0,0.0968,0.0,,
qwen2.5-3b,base,lvs,L7,7,0.005,random,0.0,0.0,0.0297,0.0,,
qwen2.5-3b,base,steering,L7,7,,,,,,,0.0,0.0833
qwen2.5-3b,base,steering,L7,7,,,,,,,0.03,0.0833
qwen2.5-3b,base,steering,L7,7,,,,,,,0.06,0.0833
