arch,variant,layer,layer_idx,frac,compliance,attack
llama3.2-3b,base,embedding,embedding,0.0,0.0833,steer_rand
llama3.2-3b,base,embedding,embedding,0.03,0.0833,steer_rand
llama3.2-3b,base,embedding,embedding,0.06,0.0417,steer_rand
llama3.2-3b,base,embedding,embedding,0.12,0.0833,steer_rand
llama3.2-3b,base,embedding,embedding,0.24,0.0833,steer_rand
llama3.2-3b,base,L0,0,0.0,0.0833,steer_rand
llama3.2-3b,base,L0,0,0.03,0.0417,steer_rand
llama3.2-3b,base,L0,0,0.06,0.0833,steer_rand
llama3.2-3b,base,L0,0,0.12,0.0833,steer_rand
llama3.2-3b,base,L0,0,0.24,0.0417,steer_rand
llama3.2-3b,base,L1,1,0.0,0.0833,steer_rand
llama3.2-3b,base,L1,1,0.03,0.0833,steer_rand
llama3.2-3b,base,L1,1,0.06,0.0833,steer_rand
llama3.2-3b,base,L1,1,0.12,0.0833,steer_rand
llama3.2-3b,base,L1,1,0.24,0.0833,steer_rand
llama3.2-3b,base,L2,2,0.0,0.0833,steer_rand
llama3.2-3b,base,L2,2,0.03,0.0833,steer_rand
llama3.2-3b,base,L2,2,0.06,0.0833,steer_rand
llama3.2-3b,base,L2,2,0.12,0.0417,steer_rand
llama3.2-3b,base,L2,2,0.24,0.0833,steer_rand
llama3.2-3b,base,L3,3,0.0,0.0833,steer_rand
llama3.2-3b,base,L3,3,0.03,0.0833,steer_rand
llama3.2-3b,base,L3,3,0.06,0.0833,steer_rand
llama3.2-3b,base,L3,3,0.12,0.0833,steer_rand
llama3.2-3b,base,L3,3,0.24,0.0417,steer_rand
llama3.2-3b,base,L4,4,0.0,0.0833,steer_rand
llama3.2-3b,base,L4,4,0.03,0.0833,steer_rand
llama3.2-3b,base,L4,4,0.06,0.0833,steer_rand
llama3.2-3b,base,L4,4,0.12,0.0417,steer_rand
llama3.2-3b,base,L4,4,0.24,0.0417,steer_rand
llama3.2-3b,base,L5,5,0.0,0.0833,steer_rand
llama3.2-3b,base,L5,5,0.03,0.0417,steer_rand
llama3.2-3b,base,L5,5,0.06,0.0833,steer_rand
llama3.2-3b,base,L5,5,0.12,0.0833,steer_rand
llama3.2-3b,base,L5,5,0.24,0.0833,steer_rand
llama3.2-3b,base,L6,6,0.0,0.0833,steer_rand
llama3.2-3b,base,L6,6,0.03,0.0833,steer_rand
llama3.2-3b,base,L6,6,0.06,0.0833,steer_rand
llama3.2-3b,base,L6,6,0.12,0.0833,steer_rand
llama3.2-3b,base,L6,6,0.24,0.0,steer_rand
llama3.2-3b,base,L7,7,0.0,0.0833,steer_rand
llama3.2-3b,base,L7,7,0.03,0.0417,steer_rand
llama3.2-3b,base,L7,7,0.06,0.0833,steer_rand
llama3.2-3b,base,L7,7,0.12,0.0833,steer_rand
llama3.2-3b,base,L7,7,0.24,0.0417,steer_rand
llama3.2-3b,base,L8,8,0.0,0.0833,steer_rand
llama3.2-3b,base,L8,8,0.03,0.0833,steer_rand
llama3.2-3b,base,L8,8,0.06,0.0833,steer_rand
llama3.2-3b,base,L8,8,0.12,0.0833,steer_rand
llama3.2-3b,base,L8,8,0.24,0.0417,steer_rand
llama3.2-3b,base,L9,9,0.0,0.0833,steer_rand
llama3.2-3b,base,L9,9,0.03,0.0417,steer_rand
llama3.2-3b,base,L9,9,0.06,0.0417,steer_rand
llama3.2-3b,base,L9,9,0.12,0.0833,steer_rand
llama3.2-3b,base,L9,9,0.24,0.0833,steer_rand
llama3.2-3b,base,L10,10,0.0,0.0833,steer_rand
llama3.2-3b,base,L10,10,0.03,0.0833,steer_rand
llama3.2-3b,base,L10,10,0.06,0.0417,steer_rand
llama3.2-3b,base,L10,10,0.12,0.0833,steer_rand
llama3.2-3b,base,L10,10,0.24,0.0833,steer_rand
llama3.2-3b,base,L11,11,0.0,0.0833,steer_rand
llama3.2-3b,base,L11,11,0.03,0.0417,steer_rand
llama3.2-3b,base,L11,11,0.06,0.0833,steer_rand
llama3.2-3b,base,L11,11,0.12,0.0833,steer_rand
llama3.2-3b,base,L11,11,0.24,0.0417,steer_rand
llama3.2-3b,base,L12,12,0.0,0.0833,steer_rand
llama3.2-3b,base,L12,12,0.03,0.0417,steer_rand
llama3.2-3b,base,L12,12,0.06,0.0833,steer_rand
llama3.2-3b,base,L12,12,0.12,0.0833,steer_rand
llama3.2-3b,base,L12,12,0.24,0.0417,steer_rand
llama3.2-3b,base,L13,13,0.0,0.0833,steer_rand
llama3.2-3b,base,L13,13,0.03,0.0833,steer_rand
llama3.2-3b,base,L13,13,0.06,0.0833,steer_rand
llama3.2-3b,base,L13,13,0.12,0.0833,steer_rand
llama3.2-3b,base,L13,13,0.24,0.0833,steer_rand
llama3.2-3b,base,L14,14,0.0,0.0833,steer_rand
llama3.2-3b,base,L14,14,0.03,0.0417,steer_rand
llama3.2-3b,base,L14,14,0.06,0.0417,steer_rand
llama3.2-3b,base,L14,14,0.12,0.0417,steer_rand
llama3.2-3b,base,L14,14,0.24,0.0833,steer_rand
llama3.2-3b,base,L15,15,0.0,0.0833,steer_rand
llama3.2-3b,base,L15,15,0.03,0.0833,steer_rand
llama3.2-3b,base,L15,15,0.06,0.0833,steer_rand
llama3.2-3b,base,L15,15,0.12,0.0833,steer_rand
llama3.2-3b,base,L15,15,0.24,0.0833,steer_rand
llama3.2-3b,base,L16,16,0.0,0.0833,steer_rand
llama3.2-3b,base,L16,16,0.03,0.0833,steer_rand
llama3.2-3b,base,L16,16,0.06,0.0833,steer_rand
llama3.2-3b,base,L16,16,0.12,0.0833,steer_rand
llama3.2-3b,base,L16,16,0.24,0.0833,steer_rand
llama3.2-3b,base,L17,17,0.0,0.0833,steer_rand
llama3.2-3b,base,L17,17,0.03,0.0833,steer_rand
llama3.2-3b,base,L17,17,0.06,0.0833,steer_rand
llama3.2-3b,base,L17,17,0.12,0.0833,steer_rand
llama3.2-3b,base,L17,17,0.24,0.0417,steer_rand
llama3.2-3b,base,L18,18,0.0,0.0833,steer_rand
llama3.2-3b,base,L18,18,0.03,0.0833,steer_rand
llama3.2-3b,base,L18,18,0.06,0.0833,steer_rand
llama3.2-3b,base,L18,18,0.12,0.0833,steer_rand
llama3.2-3b,base,L18,18,0.24,0.0833,steer_rand
llama3.2-3b,base,L19,19,0.0,0.0833,steer_rand
llama3.2-3b,base,L19,19,0.03,0.0833,steer_rand
llama3.2-3b,base,L19,19,0.06,0.0833,steer_rand
llama3.2-3b,base,L19,19,0.12,0.0833,steer_rand
