arch,variant,set,n
gemma2-2b,base,benign,25
gemma2-2b,base,harmful,60
gemma2-2b,base,jailbreak,15
gemma2-2b,dissociated,benign,25
gemma2-2b,dissociated,harmful,60
gemma2-2b,dissociated,jailbreak,15
llama3.2-3b,base,benign,25
llama3.2-3b,base,harmful,60
llama3.2-3b,base,jailbreak,15
llama3.2-3b,dissociated,benign,25
llama3.2-3b,dissociated,harmful,60
llama3.2-3b,dissociated,jailbreak,15
qwen2.5-3b,base,benign,25
qwen2.5-3b,base,harmful,60
qwen2.5-3b,base,jailbreak,15
qwen2.5-3b,dissociated,benign,25
qwen2.5-3b,dissociated,harmful,60
qwen2.5-3b,dissociated,jailbreak,15
